"inhibs_rojo";"num_torres_rojo";"num_torres_azul";"DamageObjectives_rojo";"inhibs_azul";"DamageObjectives_azul";"kda_adc_rojo";"kda_jng_rojo";"kda_mid_azul";"kda_jng_azul";"kda_mid_rojo";"num_nashors_rojo";"kda_sup_azul";"kda_sup_rojo";"kda_adc_azul";"num_asesinatos_rojo";"kda_top_rojo";"kda_top_azul";"num_asesinatos_azul";"num_nashors_azul";"num_dragones_rojo";"num_dragones_azul";"double_k_rojo";"diff_oro_al_15";"diferencia_exp";"oro_al_15_rojo";"double_k_azul";"cura_rojo";"oro_al_15_azul";"cura_azul";"gana_azul"
1;9;3;2019,44444444444;0;1380,55555555556;10;11;1,66666666666667;2,5;10;1;2,5;3,5;3;12;4,5;1,33333333333333;7;0;3;2;2;-881;-920;25100;1;786,111111111111;24200;1379,91666666667;"no"
1;7;2;2280;0;1420;9;13;0,333333333333333;0,666666666666667;13;1;0,6;2;1,33333333333333;21;6;0,75;7;0;2;2;1;1100;544;24000;0;894,4;25100;1498,28;"no"
1;8;4;2615,78947368421;0;1236,84210526316;6;7;2;1;7;2;2;7;0,5;8;3;1,5;3;0;4;2;1;1100;342;23300;0;1575,63157894737;24400;810,052631578947;"no"
1;9;1;2896,66666666667;0;983,333333333333;12;12;0,428571428571429;0,6;13;1;1,6;2,66666666666667;2,33333333333333;23;1,6;1,33333333333333;8;0;3;1;1;-5700;-3793;28800;0;981,8;23100;410,6;"no"
2;11;2;2706,25;0;1478,125;12;3,33333333333333;0,666666666666667;1,66666666666667;13;2;0,75;10;1,5;16;4;1;6;0;4;1;2;-1300;-1485;25600;0;953,78125;24300;431,125;"no"
2;9;1;3434,61538461538;0;769,230769230769;10;15;0;0,25;13;1;0,333333333333333;20;0,5;25;10;0,166666666666667;3;0;4;0;2;-6200;-5623;28300;0;1361,61538461538;22100;338,153846153846;"no"
2;10;2;2873,33333333333;0;800;10;9;0,666666666666667;1;12;1;1,33333333333333;3;1;15;13;0;4;0;3;2;2;-4300;-2695;27700;0;989,733333333333;23400;461,7;"no"
1;9;6;1984,61538461538;0;1861,53846153846;15;2;4,33333333333333;2,33333333333333;5,5;2;2,66666666666667;4,66666666666667;1,5;17;2,25;3;15;0;3;2;1;1900;2069;24000;0;1261,82051282051;25900;770,666666666667;"no"
3;11;7;2638,23529411765;1;1823,52941176471;6;4,33333333333333;3;3,33333333333333;2,33333333333333;1;2,5;2,5;2,33333333333333;19;3;1,8;16;1;3;2;1;-2100;-378;26600;1;1156,35294117647;24500;756,558823529412;"no"
1;8;3;2850;0;1180,76923076923;9;10;0;0,333333333333333;7;1;1;10;0,5;11;6;0;1;0;4;0;0;-1800;-649;25700;0;1265,07692307692;23900;589,153846153846;"no"
2;10;2;2893,54838709677;0;1087,09677419355;18;3,75;4;1,28571428571429;5;1;1,8;5,66666666666667;1,5;24;6,5;1,16666666666667;13;0;4;0;2;-182;-77;24600;0;1203,45161290323;24400;391,41935483871;"no"
2;11;2;2941,37931034483;0;1106,89655172414;12;10;1,5;1,5;7;1;0;11;0,333333333333333;14;11;0;4;0;2;2;1;-1100;-2768;26000;0;1154,96551724138;24900;941,103448275862;"no"
2;9;3;2565,625;0;1037,5;9;4,75;1,5;0,666666666666667;17;1;0,5;20;0,75;23;16;0,6;7;0;3;2;3;-2000;-1478;26000;0;1075,5;24900;837,40625;"no"
1;9;0;2733,33333333333;0;937,037037037037;11;6;0,8;1,33333333333333;14;1;0,6;12;1,25;21;6;0,6;6;0;3;0;1;-2700;-3103;25500;0;1020,62962962963;22800;357,703703703704;"no"
2;9;0;2306,89655172414;0;555,172413793103;15;14;0,5;1;15;0;0,75;7,5;0,285714285714286;19;11;0;3;0;2;1;2;-5400;-2099;27800;0;1025,03448275862;22400;581,965517241379;"no"
2;9;3;2427,77777777778;0;1013,88888888889;4,66666666666667;14;1,5;1,25;16;0;1,75;3,66666666666667;1;21;6,5;1,75;10;0;3;2;3;-2600;-2400;25600;0;1001,44444444444;23000;506,277777777778;"no"
2;10;3;2450;0;1014,70588235294;9;18;1,5;2,5;10;1;1,33333333333333;3,5;2;24;6;1,5;11;0;4;0;6;-2500;-1635;24700;0;915,705882352941;22200;966,794117647059;"no"
2;9;1;3240,625;0;434,375;10;5;2;0,5;10;0;0,333333333333333;9;0,333333333333333;12;4;0;2;1;5;0;1;-5100;-2745;26300;0;1384,34375;21200;372,75;"no"
2;10;3;2150;0;1607,89473684211;6,5;6,33333333333333;2,2;1,6;4,5;1;2;4;1,8;24;4,66666666666667;2,2;15;1;4;2;2;-2900;-1337;27200;2;1319,92105263158;24300;1052,13157894737;"no"
1;8;0;2430,4347826087;0;417,391304347826;8;10;0,333333333333333;0,5;12;0;0,6;9;1;17;11;1,5;3;0;3;0;1;-5400;-2630;26400;0;988,173913043478;22400;408,95652173913;"no"
1;10;2;2839,39393939394;0;712,121212121212;5;7;1;1;5;1;3;2;2;7;6;3;4;0;4;1;0;-3200;-2280;26000;0;742,484848484848;22800;792;"no"
1;8;6;2002,94117647059;0;2014,70588235294;5;8;1;1,5;7;2;1;1,33333333333333;1,5;12;8;1;5;0;2;3;1;385;-444;24300;0;617,088235294118;24700;823,352941176471;"no"
2;10;1;2660;0;533,333333333333;14;19;1,5;0,666666666666667;8;1;0,333333333333333;4,66666666666667;0;22;10;0,4;5;0;4;0;2;-4100;-4016;27800;1;1079,6;23700;590,566666666667;"no"
3;11;1;3022,58064516129;0;625,806451612903;15;14;3,5;0,8;8;1;1,5;3,66666666666667;3;19;5,5;0,833333333333333;7;0;4;0;1;-4900;-3040;27800;0;1524,38709677419;22900;536,516129032258;"no"
1;7;10;1931,70731707317;4;2509,75609756098;2,625;5,5;1,6;3,375;1,8;1;1,41666666666667;6;8,5;36;4;1,11111111111111;31;2;2;3;5;-1100;1700;25800;2;810,560975609756;24700;905,951219512195;"no"
1;8;3;2205,71428571429;0;831,428571428571;14;17;0,5;4;6,5;0;0,5;9;0,8;20;14;2,5;6;0;4;1;2;-2100;-470;25200;0;1506,57142857143;23100;448,971428571429;"no"
3;11;3;2781,48148148148;0;803,703703703704;9;13;2;2,5;8;1;0,8;3;1;21;15;0,333333333333333;6;0;3;0;3;-422;-260;25200;0;674,333333333333;24800;568,888888888889;"no"
3;11;2;2919,35483870968;0;809,677419354839;11;12;1;0;7;1;0,25;12;1,5;16;1,66666666666667;1;4;0;4;0;2;762;-2300;23200;0;1120;24000;612,741935483871;"no"
1;9;2;3575;0;825;12;5,5;1;3;13;2;1;4,33333333333333;1,66666666666667;17;11;1;7;0;5;0;2;-1400;-878;27700;0;713,875;24400;610,875;"no"
3;11;4;3024,24242424242;0;1003,0303030303;12;6;1;0,666666666666667;5,5;2;1;11;0,666666666666667;19;3,33333333333333;1,66666666666667;8;0;5;0;3;1200;1172;22800;1;1110,42424242424;24000;270,909090909091;"no"
4;11;2;2844,8275862069;0;610,344827586207;9;10;0,666666666666667;1;10;1;0,333333333333333;11;0,5;12;0,333333333333333;4;4;0;3;1;1;-5300;-5055;27900;0;904,793103448276;22600;635,068965517241;"no"
3;11;2;2420;0;886,666666666667;17;3;0,75;2;3,5;1;0,333333333333333;11;6;19;6;1,5;8;0;4;0;0;-3600;-4074;28000;0;1034,03333333333;24400;588,533333333333;"no"
1;9;2;2568,75;0;1196,875;3;10;0,5;1;11;1;0,666666666666667;6;1;13;4;2;4;0;5;0;1;-435;-2088;24800;0;1150,59375;24400;768,34375;"no"
1;8;6;1482,35294117647;0;2008,82352941176;10;3,33333333333333;2;3;7;1;1,33333333333333;11;5;11;9;2;6;0;3;2;1;1800;205;22600;0;1411,20588235294;24400;792,441176470588;"no"
1;7;3;1813,88888888889;0;1708,33333333333;14;16;3,33333333333333;2;6,5;0;1,5;2,2;3;18;4;8;11;0;4;1;1;889;528;25300;1;1445,94444444444;26200;912,277777777778;"no"
1;7;3;2533,33333333333;0;1661,11111111111;13;9;4;0,75;11;1;1;3,33333333333333;0,75;15;10;2;6;0;4;2;1;59;-809;23600;0;1079,52777777778;23700;800,777777777778;"no"
1;10;3;2256,25;0;1268,75;14;13;2;4;1,75;1;1,5;6;3,33333333333333;17;2,2;2,66666666666667;12;0;4;0;1;1200;-339;24000;0;897,75;25200;1368,3125;"no"
1;9;5;3529,41176470588;0;1454,90196078431;6,5;11;1,5;1;4;3;1,25;6;4,5;14;3,66666666666667;7;10;0;5;4;2;-971;-605;24700;1;1299,33333333333;23700;1218,47058823529;"no"
