"num_torres";"inhibs";"DamageObjectives";"kda_mid";"kda_jng";"kda_sup";"kda_adc";"kda_top";"num_asesinatos";"num_nashors";"num_dragones";"double_k";"oro_al_15";"cura";"gana";"diferencia_exp";"diff_oro_al_15"
11;3;3067,74193548387;16;16;3,25;5;3,66666666666667;21;2;3;4;25400;1413,03225806452;"si";-39;1200
0;0;1134,375;1;1,6;1,25;2;1,6;11;0;2;1;23200;978,5625;"no";-1816;-2600
9;2;3260;4;4,66666666666667;13;6,5;5;17;2;4;4;25500;1112,73333333333;"si";1544;3100
1;0;714,285714285714;2;3;1,5;1,5;0,666666666666667;3;0;1;0;23700;811,178571428571;"no";1527;-2500
7;2;2837,83783783784;8;8,5;3,2;3,75;3,5;18;2;3;1;22900;1098,24324324324;"no";-2507;-1900
3;0;1700;1;1;1;0;2;4;0;1;0;23800;610;"no";-815;-346
7;1;2197,22222222222;4,33333333333333;4;4,5;16;6,66666666666667;22;0;3;1;25200;1129,52777777778;"si";2475;2100
10;2;2254,83870967742;4,5;3;13;6;5;14;1;3;1;25300;989,032258064516;"si";-1252;2600
8;2;2259,375;11;17;4,5;7;7,5;21;1;3;4;24800;922,125;"si";2733;1800
8;1;2093,54838709677;5,5;10;6,5;9;5;13;1;1;2;24000;867,451612903226;"si";-122;255
9;2;2410,34482758621;8;12;3,66666666666667;15;2;19;1;3;3;28100;882,793103448276;"si";3488;3800
1;0;821,428571428571;0,75;1,5;2;0,5;1;4;0;1;0;22900;437,785714285714;"no";763;-1500
2;0;1010;0,333333333333333;1;0,333333333333333;2;0,666666666666667;3;0;0;0;24200;686,3;"no";-1259;296
11;2;2415,15151515152;3;2,25;12;12;15;19;1;3;1;24400;810,969696969697;"si";-2464;-147
7;1;2280;12;17;12;13;4;19;0;3;3;25900;636,1;"si";4090;3100
8;1;1759,45945945946;11;5;9;9;5;14;0;4;0;23100;784,405405405405;"si";-1087;-1900
8;1;2827,58620689655;19;5,75;12;8,33333333333333;19;27;1;1;4;24800;973,965517241379;"si";-91;2300
11;3;2788,88888888889;6;6;11;4,5;8;13;2;3;0;23100;1181,55555555556;"si";-2813;-3100
2;0;1184,21052631579;1,4;1,14285714285714;2;2,6;3;13;0;1;0;24000;612,526315789474;"no";66;-1900
1;0;773,333333333333;1;1,2;1,2;1,5;2,5;8;0;1;0;24700;600,133333333333;"no";-1198;328
11;2;3633,33333333333;4,25;15;16;11;5,5;20;2;4;3;26000;710,878787878788;"si";2258;4400
6;1;2287,87878787879;1,5;1,66666666666667;2;0,5;0,5;5;0;2;0;26500;898,848484848485;"no";320;2600
11;2;2705,88235294118;3,75;8,5;12;8,5;4;24;1;5;0;22600;1145,70588235294;"si";703;-1100
8;1;2366,66666666667;22;20;20;9;6,33333333333333;25;1;3;4;26800;1486,62962962963;"si";2571;2800
9;1;2607,40740740741;17;8,5;20;6,5;12;25;1;2;2;27400;956;"si";2833;5400
1;0;1311,11111111111;2,5;1,25;1,6;4,5;0,333333333333333;9;0;2;1;22600;772,305555555556;"no";-1708;-2500
11;2;2300;14;8;10;7;10;16;1;3;1;25000;663,142857142857;"si";3229;3200
10;2;2813,79310344828;4,33333333333333;16;11;14;15;18;1;2;3;24900;1333,03448275862;"si";237;1100
11;3;2106,06060606061;5,5;2;11;2,5;3,33333333333333;13;2;2;1;25300;1316,48484848485;"si";858;1800
4;0;997,435897435897;2,75;1,28571428571429;2;3,5;1,5;13;0;1;1;25700;796,666666666667;"no";590;1100
2;0;632,142857142857;1;1,5;0,428571428571429;1,6;0,666666666666667;10;0;0;1;25500;512,571428571429;"no";-2109;-426
2;0;1070,96774193548;1;0,333333333333333;0,2;1;0;2;0;1;0;22700;990,129032258065;"no";-2618;-2700
3;0;717,142857142857;0,8;2,5;1,5;1;1,25;6;0;1;2;22300;772,085714285714;"no";-1105;-3900
9;1;2384,84848484848;4,66666666666667;10;6;9,5;14;22;1;2;3;24600;733,666666666667;"si";-1272;19
5;0;1308,57142857143;0;1;0,2;0;0,666666666666667;2;0;1;0;24600;602,828571428571;"no";487;1600
11;4;2760;5,5;7;1;1,75;1,75;17;2;2;1;26200;1356,375;"si";769;3000
9;1;2631,25;17;21;22;8;4,33333333333333;27;0;3;4;25500;1487,90625;"si";571;1600
9;1;2385,29411764706;4,33333333333333;2;2;13;10;18;2;2;1;23800;702,441176470588;"si";2247;1800
9;2;3172,09302325581;19;4,66666666666667;2,25;8;6,5;21;2;5;2;23900;604,93023255814;"si";-380;-178
3;0;1217,64705882353;1,16666666666667;1,75;3;2,33333333333333;2;12;0;1;2;25000;598;"no";1338;2400
3;0;1885,71428571429;2;1,5;3,5;1,66666666666667;1,33333333333333;11;1;1;0;23300;1474,97142857143;"no";-3144;-5500
9;2;3692,30769230769;2;15;2,66666666666667;14;14;24;1;4;3;26200;992,961538461538;"si";543;1500
3;0;2031,03448275862;1,5;4;2;2;0,5;7;0;3;1;26500;668,068965517241;"no";239;980
3;0;1281,81818181818;1,2;2;5;1;4;7;0;3;0;24200;1181,78787878788;"no";1464;-441
3;0;1220,51282051282;4;1,66666666666667;2;1;1;7;0;2;1;23200;952,769230769231;"no";-2733;-4500
11;3;2621,42857142857;16;5,66666666666667;1,75;3,75;4,5;21;2;3;1;25300;1276,07142857143;"si";-24;635
2;0;810,714285714286;1;1;0,8;1,5;0,4;6;0;0;0;24000;604,285714285714;"no";-1094;-3200
4;0;1084,84848484848;1,5;1;0,5;1;0,142857142857143;8;0;0;1;25000;828,666666666667;"no";-318;-339
2;0;593,548387096774;1;2,33333333333333;0,777777777777778;1,66666666666667;1,33333333333333;10;0;0;0;23700;951,290322580645;"no";-1515;-1900
7;1;2352,63157894737;12;9;8;5;8;15;0;3;2;27500;881,631578947368;"si";3696;4900
4;0;1966,66666666667;1;1;0,666666666666667;0,25;0,4;4;0;3;1;24500;558,6;"no";-1734;50
3;0;910,344827586207;1,16666666666667;1;1,4;1,5;0,5;11;0;1;1;26900;748,413793103448;"no";-1693;-1300
7;1;1859,375;6,33333333333333;8,5;19;6;2,6;23;0;4;2;24500;1201,59375;"si";1072;124
3;0;1596,9696969697;4;1,33333333333333;1;0,333333333333333;1;5;0;3;1;25300;427,787878787879;"no";914;499
3;0;1277,77777777778;2;1,5;0,285714285714286;3;3;6;0;1;0;26500;1309,83333333333;"no";-691;2000
10;2;2868,96551724138;10;12;6;9;7;16;2;1;1;28000;557,379310344828;"si";2475;4100
5;0;1900;2,25;8;1,14285714285714;3;1,66666666666667;13;0;3;1;28300;448,769230769231;"no";1067;1700
0;0;668;0,25;1;0,666666666666667;2;1,5;4;0;1;0;24200;1088,96;"no";-3488;-3700
5;0;2194,73684210526;1,8;1,6;3,33333333333333;6,5;2,2;13;0;2;0;24400;1094,28947368421;"no";-1824;-583
7;1;1692,30769230769;18;10,5;3,5;21;9,5;26;0;3;2;25400;828,730769230769;"si";1249;532
1;0;1121,875;0,75;2,5;1;7;0,5;7;1;0;0;24000;673,15625;"no";-1043;-3400
5;0;1684,61538461538;1,66666666666667;1,66666666666667;2,5;3;1;7;0;0;0;27300;659,269230769231;"no";953;4100
11;3;3263,15789473684;2;6;4;7;3,5;9;2;5;1;24300;881,763157894737;"si";626;554
