"kda";"posicion"
3,66666666666667;"jng"
4,5;"jng"
7;"jng"
13;"jng"
9;"jng"
1,5;"jng"
6,33333333333333;"jng"
6,5;"jng"
16;"jng"
7,5;"jng"
10;"jng"
4;"jng"
9;"jng"
4;"jng"
14;"jng"
7,5;"jng"
2;"jng"
1;"jng"
11;"jng"
5,5;"jng"
4;"jng"
3;"jng"
4,33333333333333;"jng"
6;"jng"
5;"jng"
12;"jng"
16;"jng"
2,5;"jng"
16;"jng"
16;"jng"
1,66666666666667;"jng"
12;"jng"
7,5;"jng"
6;"jng"
6,5;"jng"
7;"jng"
8;"jng"
9;"jng"
3;"jng"
4;"jng"
9;"jng"
17;"jng"
8;"jng"
8;"jng"
12;"jng"
12;"jng"
3;"jng"
2;"jng"
8;"jng"
3,5;"jng"
11;"jng"
18;"jng"
9;"jng"
6,5;"jng"
8;"jng"
9;"jng"
3;"jng"
16;"jng"
8;"jng"
6;"jng"
4;"jng"
2,5;"jng"
12;"jng"
12;"jng"
12;"jng"
2,66666666666667;"jng"
6;"jng"
6;"jng"
9;"jng"
18;"jng"
7;"jng"
4,66666666666667;"jng"
5;"jng"
6;"jng"
7;"jng"
3;"jng"
5,5;"jng"
14;"jng"
9;"jng"
5;"jng"
5;"jng"
12;"jng"
6,33333333333333;"jng"
7;"jng"
3,2;"jng"
11;"jng"
7;"jng"
6;"jng"
6;"jng"
8;"jng"
6;"jng"
10;"jng"
12;"jng"
4;"jng"
14;"jng"
9;"jng"
2;"jng"
14;"jng"
13;"jng"
7;"jng"
10;"jng"
5,5;"jng"
13;"jng"
14;"jng"
9;"jng"
9;"jng"
1,25;"jng"
8,5;"jng"
10;"jng"
7;"jng"
7;"jng"
3;"jng"
7;"jng"
6,5;"jng"
8;"jng"
4;"jng"
2,5;"jng"
8;"jng"
4;"jng"
7;"jng"
10;"jng"
15;"jng"
7;"jng"
7,5;"jng"
4;"jng"
8;"jng"
4;"jng"
10;"jng"
5,66666666666667;"jng"
14;"jng"
4;"jng"
12;"jng"
16;"jng"
10;"jng"
17;"jng"
4,66666666666667;"jng"
15;"jng"
9;"jng"
4,5;"jng"
7,5;"jng"
3,5;"jng"
6,5;"jng"
12;"jng"
11;"jng"
12;"jng"
7,33333333333333;"jng"
2,5;"jng"
3;"jng"
7,5;"jng"
5;"jng"
4;"jng"
11;"jng"
3,33333333333333;"jng"
6;"jng"
6,5;"jng"
15;"jng"
0,6;"jng"
3,66666666666667;"jng"
4,5;"jng"
17;"jng"
7;"jng"
7;"jng"
2;"jng"
4;"jng"
7,5;"jng"
3;"jng"
6;"jng"
6;"jng"
8;"jng"
7;"jng"
6,5;"jng"
10;"jng"
12;"jng"
6;"jng"
13;"jng"
11;"jng"
6;"jng"
14;"jng"
13;"jng"
13;"jng"
10;"jng"
10;"jng"
9;"jng"
6;"jng"
4;"jng"
6,5;"jng"
9;"jng"
9,5;"jng"
3,33333333333333;"jng"
6,5;"jng"
12;"jng"
11;"jng"
4;"jng"
8;"jng"
12;"jng"
9;"jng"
5;"jng"
14;"jng"
17;"jng"
4;"jng"
5,25;"jng"
4;"jng"
12;"jng"
8;"jng"
2,5;"jng"
5,5;"jng"
9;"jng"
5;"jng"
12;"jng"
7;"jng"
10;"jng"
16;"mid"
4;"mid"
4,33333333333333;"mid"
4,5;"mid"
11;"mid"
5,5;"mid"
8;"mid"
3;"mid"
12;"mid"
11;"mid"
19;"mid"
6;"mid"
4,25;"mid"
3,75;"mid"
22;"mid"
17;"mid"
14;"mid"
4,33333333333333;"mid"
5,5;"mid"
4,66666666666667;"mid"
5,5;"mid"
17;"mid"
4,33333333333333;"mid"
19;"mid"
2;"mid"
16;"mid"
12;"mid"
6,33333333333333;"mid"
10;"mid"
18;"mid"
2;"mid"
5;"mid"
5;"mid"
4;"mid"
4;"mid"
16;"mid"
8,5;"mid"
9;"mid"
14;"mid"
4;"mid"
10;"mid"
12;"mid"
12;"mid"
10;"mid"
3,5;"mid"
8;"mid"
5;"mid"
3,33333333333333;"mid"
4;"mid"
12;"mid"
7;"mid"
8;"mid"
6;"mid"
5,33333333333333;"mid"
4;"mid"
3,75;"mid"
17;"mid"
12;"mid"
2;"mid"
10;"mid"
10;"mid"
5;"mid"
2,66666666666667;"mid"
3;"mid"
5,5;"mid"
14;"mid"
15;"mid"
14;"mid"
11;"mid"
15;"mid"
4,5;"mid"
9;"mid"
4;"mid"
6;"mid"
16;"mid"
11;"mid"
6,5;"mid"
2,25;"mid"
14;"mid"
2,25;"mid"
9;"mid"
9;"mid"
6;"mid"
15;"mid"
11;"mid"
3,5;"mid"
6,5;"mid"
3,5;"mid"
11;"mid"
6;"mid"
3,5;"mid"
9;"mid"
